Module                  Size  Used by
mt6358_battery        405504  10 dsi_panel_n85_47_02_0b_90_thinning_vdo,dsi_panel_n85_47_02_0b_90_vdo,dsi_panel_n85_47_02_0b_60_vdo,dsi_panel_n85_46_0f_0c_90_thinning_vdo,dsi_panel_n85_46_0f_0c_90_vdo,dsi_panel_n85_46_0f_0c_60_vdo,dsi_panel_n85_35_02_0a_90_thinning_vdo,dsi_panel_n85_35_02_0a_90_vdo,dsi_panel_n85_35_02_0a_60_vdo
pmic_lbat_service      28672  3 wlan_drv_gen4m,mtk_low_battery_throttling,mt6358_battery
subpmic_charger        61440  3 flashlights_mt6768,xm_smart_chg,mt6358_battery
subpmic_cid            28672  2 mt6358_battery,subpmic_charger
subpmic                16384  0 
soft_bc12              16384  1 subpmic_charger
tcpci_late_sync        16384  0 [permanent]
rt_pd_manager          20480  0 
xiaomi_usb_touch_notifier    16384  2 nt36523d_spi,rt_pd_manager
pd_adapter             16384  0 
adapter_class          20480  1 pd_adapter
tcpc_sy6976            36864  0 
charger_manager        36864  5 xm_smart_chg,mt6358_battery,subpmic_charger,rt_pd_manager,tcpc_sy6976
charger_class          32768  3 subpmic_charger,rt_pd_manager,charger_manager
tcpc_rt1711h           32768  1 subpmic_charger
isee                  204800  11 cmdq_sec_drv
mcDrvModule           311296  1 cmdq_sec_drv
gpapi                  20480  6 cmdq_sec_drv,iommu_tz_sec,trusted_mem,gz_tz_system,isee,mcDrvModule,[permanent]
teeperf                20480  0 
device_apc_mt6768      24576  0 
tcpc_mt6370            36864  0 
tcpc_class            380928  11 mt6768_mt6358,extcon_mtk_usb,subpmic_charger,subpmic_cid,tcpci_late_sync,rt_pd_manager,pd_adapter,tcpc_sy6976,charger_manager,tcpc_rt1711h,tcpc_mt6370
pd_dbg_info          1069056  4 tcpc_sy6976,tcpc_rt1711h,tcpc_mt6370,tcpc_class
perf_helper            20480  0 
meta                   45056  0 
musb_main              16384  0 
musb_hdrc             376832  6 musb_boost,MTK_INTERNAL_SPM,subpmic_charger,rt_pd_manager,musb_main
phy_mtk_tphy          110592  1 
phy_generic            16384  2 musb_hdrc
ktz8864                16384  10 virtual_dsi_vdo_default,dsi_panel_n85_47_02_0b_90_thinning_vdo,dsi_panel_n85_47_02_0b_90_vdo,dsi_panel_n85_47_02_0b_60_vdo,dsi_panel_n85_46_0f_0c_90_thinning_vdo,dsi_panel_n85_46_0f_0c_90_vdo,dsi_panel_n85_46_0f_0c_60_vdo,dsi_panel_n85_35_02_0a_90_thinning_vdo,dsi_panel_n85_35_02_0a_90_vdo,dsi_panel_n85_35_02_0a_60_vdo
ocp2138_drv            16384  9 dsi_panel_n85_47_02_0b_90_thinning_vdo,dsi_panel_n85_47_02_0b_90_vdo,dsi_panel_n85_47_02_0b_60_vdo,dsi_panel_n85_46_0f_0c_90_thinning_vdo,dsi_panel_n85_46_0f_0c_90_vdo,dsi_panel_n85_46_0f_0c_60_vdo,dsi_panel_n85_35_02_0a_90_thinning_vdo,dsi_panel_n85_35_02_0a_90_vdo,dsi_panel_n85_35_02_0a_60_vdo
mtk_kpd                20480  0 
mtk_pmic_keys          16384  0 
mt6370_backlight       16384  0 
mt6370_adc             16384  0 
mt6370_regulator       16384  0 
extdev_io_class        16384  0 
mt6370                 24576  0 
spi_mt65xx             45056  0 
cmdq_platform_mt6768    16384  0 
sec_rng                16384  0 
mtk_mmc               122880  0 
mtk_mmc_dbg           188416  1 mtk_mmc
mtk_mmc_autok         155648  1 mtk_mmc
cqhci                1130496  1 mtk_mmc
blocktag               77824  4 mtk_perf_common,mtk_mmc,mtk_mmc_dbg,cqhci
regulator_vibrator     16384  0 
mac80211             1359872  0 
cfg80211             1351680  2 wlan_drv_gen4m,mac80211
leds_mtk_pwm           16384  0 
leds_mtk_disp          16384  0 
mediatek_drm         3694592  12 mtk_fpsgo,ged,mtk_disp_sec,ccci_md_all,aee_rs,leds_mtk_pwm,leds_mtk_disp
spi_slave              24576  2 cmdq_bdg_mailbox,mediatek_drm
cmdq_helper_inf        49152  3 camera_isp_4_t,mdp_drv_mt6768,mediatek_drm
clkbuf                122880  1 mediatek_drm
mtk_mml_legacy        507904  1 mediatek_drm
mtk_sync               24576  2 mediatek_drm,mtk_mml_legacy
mtk_cmdq_drv_ext      303104  22 camera_dpe_isp40,camera_fdvt_isp40,mdp_drv_mt6768,mtk_disp_sec,mtk_vcu,cmdq_sec_drv,cmdq_platform_mt6768,mediatek_drm,cmdq_helper_inf,mtk_mml_legacy,[permanent]
irq_dbg                16384  1 mtk_cmdq_drv_ext
mmqos_common           36864  2 mmqos_mt6768,mediatek_drm
mtk_mmdvfs_debug       16384  1 mmqos_common
mtk_mmdvfs             24576  1 mmqos_common
mmprofile              98304  7 cmdq_bdg_mailbox,mdp_drv_mt6768,cmdq_sec_drv,mediatek_drm,mtk_mml_legacy,mtk_cmdq_drv_ext,mtk_mmdvfs
mtk_icc_core           40960  9 cam_qos_4,ccu_isp4,mdp_drv_mt6768,mtk_jpeg,mtk_vcodec_enc_v1,mtk_vcodec_dec_v1,mediatek_drm,mtk_mml_legacy,mmqos_common
hardware_info          28672  7 icnl9951r_spi,nt36523d_spi,sensor_list,imgsensor_isp4,mt6358_battery,subpmic_charger,mediatek_drm
mtk_disp_notify        16384  20 wlan_drv_gen4m,wmt_drv,icnl9951r_spi,nt36523d_spi,mtk_cm_mgr,iommu_tz_sec,thermal_monitor,mtk_ppm_v3,gt1151,gt9886,dsi_panel_n85_47_02_0b_90_thinning_vdo,dsi_panel_n85_47_02_0b_90_vdo,dsi_panel_n85_47_02_0b_60_vdo,dsi_panel_n85_46_0f_0c_90_thinning_vdo,dsi_panel_n85_46_0f_0c_90_vdo,dsi_panel_n85_46_0f_0c_60_vdo,dsi_panel_n85_35_02_0a_90_thinning_vdo,dsi_panel_n85_35_02_0a_90_vdo,dsi_panel_n85_35_02_0a_60_vdo,mediatek_drm
mtk_panel_ext          20480  13 gt9886,virtual_dsi_vdo_default,dsi_panel_n85_47_02_0b_90_thinning_vdo,dsi_panel_n85_47_02_0b_90_vdo,dsi_panel_n85_47_02_0b_60_vdo,dsi_panel_n85_46_0f_0c_90_thinning_vdo,dsi_panel_n85_46_0f_0c_90_vdo,dsi_panel_n85_46_0f_0c_60_vdo,dsi_panel_n85_35_02_0a_90_thinning_vdo,dsi_panel_n85_35_02_0a_90_vdo,dsi_panel_n85_35_02_0a_60_vdo,leds_mtk_disp,mediatek_drm
leds_mtk               24576  5 thermal_monitor,ktz8864,leds_mtk_pwm,leds_mtk_disp,mediatek_drm
pwm_mtk_disp           32768  0 
i2c_mt65xx             61440  0 
